source;target
966154;812441
154686;154862
855683;849056
971525;989349
812415;513092
1054134;1049258
378933;381687
99127;99133
9529;8765
257381;60698
153215;153806
284932;264072
64111;659794
753573;159754
273272;6101
80501;616875
106168;1073354
547311;60714
10037;17052
944352;748307
1099214;257783
44408;168
285318;92288
402365;45879
966042;965653
20619;22668
315488;300811
179704;54299
951767;951461
153522;153834
122263;122001
977549;1023886
205205;114279
150340;150399
479218;92288
1092757;207
849605;851385
123065;513285
713388;361624
72476;47980
478082;168004
692185;5937
971377;971381
507374;949791
304692;392238
855748;849080
118648;103
836681;836993
592421;967121
498230;137773
1036494;1036346
917836;391
159922;160090
381659;381584
291674;695855
6239;10298
389154;475081
180438;178433
153203;153763
113785;308936
1103154;140430
502658;873402
900436;900415
150275;150145
951850;202309
244335;918752
110452;335144
105106;284393
858449;1028749
838730;837273
8454;26657
161571;178421
121914;122352
933748;921518
159753;160324
293875;855615
157361;157396
291401;219837
757029;759413
917236;989410
425169;866164
839099;838908
840728;853317
720825;1010062
454165;705251
1054303;1047403
66325;948500
381916;379005
350173;365044
988526;988531
152920;153925
254345;88484
1045505;1056447
32566;688
5131;9943
794059;288782
894832;311735
19970;526946
152605;152527
845500;890055
117020;439285
754365;700061
1111334;114937
815814;155498
934076;921394
681382;307189
93368;89888
1027227;1027743
190137;33221
756037;756021
701539;715687
381805;380309
1103172;1103155
559168;561770
919805;934135
973213;1013204
694726;79148
966000;921135
84258;83987
10109;10074
848863;854851
1000282;73043
734978;29700
973127;9716
285478;7451
896943;896945
19546;21551
970097;970113
154110;52379
285465;69188
835940;649637
380343;381679
42327;55
842619;847568
380379;381713
759604;756063
9530;42191
921641;967542
849719;849895
160097;160029
5247;29683
859667;973218
153137;153129
160003;159906
153228;153316
990443;1007155
999268;946427
1109285;459811
682650;911129
156093;156067
160176;159999
379025;381953
153044;153402
287747;361918
831589;831745
9212;15552
171281;220624
315967;309899
171302;156778
609463;13495
896943;2871
12682;32988
150356;149853
122655;101798
756448;52360
10017;21243
741529;375803
719990;457709
741154;46605
279014;358735
854411;470700
159839;160057
182152;182148
722029;706360
9906;2947
184018;1047375
41932;19146
808771;29573
149900;150138
32713;744469
754535;760662
855390;843976
6803;716077
335508;294198
1037168;971703
362281;794785
298361;35065
9963;8236
327790;184370
153208;153288
775479;548257
159770;160348
852136;787830
778323;505720
10023;10076
301921;298795
34825;273512
284474;1024971
673310;1064848
3474;27404
65131;3772
813811;660723
990412;986539
449388;1014530
965992;921625
903011;892259
150127;150338
130126;23068
346631;296251
649204;963854
7709;100632
121982;121564
338809;322203
799624;105831
5034;777867
88826;5730
159999;160218
470575;841054
1067936;925932
153215;153509
654932;759849
159879;160310
167884;3486
51852;68291
747613;456702
433471;88316
855490;849053
1027522;218527
106034;106016
833206;841941
756045;758993
9866;6777
159650;160100
951740;951533
160095;160186
1075814;484
83018;453883
862584;829928
405090;8522
790979;72650
7545;3955
7554;10051
967714;966659
836051;849525
851383;845832
598511;608756
118286;257302
1013280;1013279
759147;759172
72143;2860
512118;838998
51555;328352
213744;206471
626108;219587
15796;81019
919874;919309
933684;989385
545690;544529
246740;620993
48131;73864
159765;159613
869049;261701
26092;219593
837140;848954
7625;7545
971739;971634
1010979;4003
747214;746914
111838;1062966
159731;159791
286363;62168
896887;896885
381981;382018
594850;44006
160135;159892
1103166;185548
310909;348159
834902;557753
977337;989303
1049505;1047408
1027582;342638
201693;749935
150034;150179
596003;21540
738589;728732
751927;207690
389422;368998
153496;153745
21561;21564
153268;153559
149590;149598
832864;832591
8865;592880
287631;25893
548356;1104005
883326;771844
1064750;61998
849605;849945
3978;20436
901800;901796
575468;58705
765958;772711
755574;761701
148756;148886
177645;225854
122021;114145
86063;87890
430993;26904
1065100;1066893
160130;159716
241430;260047
413933;428787
9968;704875
7111;18382
934074;919496
150185;149867
297167;139600
152483;890002
893038;972089
450178;43271
10047;386366
921658;917553
900411;900418
562673;897252
173367;173365
239091;206470
9877;9890
519563;156049
1054133;835685
9977;9724
12658;956599
828418;196285
592880;592168
810204;225768
666242;666239
921139;965512
834529;1054352
1045487;965384
300080;722448
883303;884087
149525;149522
892602;890631
820893;837162
378410;376479
297127;379053
568556;77525
933886;965433
101019;101351
183054;45155
341318;329174
221724;221729
152493;152507
1025153;1025101
482770;843972
482827;854409
787483;368998
843972;836656
119037;118876
165972;46532
1065121;1056595
344388;344400
381751;381689
973193;1008360
1108145;291
437591;27710
102740;102739
806535;20190
1052924;1048978
112163;620993
903232;967528
616878;593203
918080;830363
159753;160021
848556;305028
938790;938799
840790;844918
153842;153521
398579;398580
1103159;1109935
874369;971596
1007155;990440
679182;98216
15563;785969
101434;857616
919583;985759
837404;293866
381645;381742
1027967;1061417
149138;149100
119960;17333
930544;851993
205894;825348
153203;153707
362098;879025
924628;828240
839034;839109
424868;25235
153879;152888
160321;160033
1008389;989354
589341;840809
435188;435196
439487;221538
981863;1056294
160004;159927
152886;152865
1101561;1109936
571785;40994
425284;425489
972104;968010
154751;154291
754365;522024
9206;535496
92989;2161
315223;64580
101868;121639
836679;843975
411785;27517
795910;126369
821714;20185
967700;23982
836530;1049299
836534;844041
318158;302011
830347;973438
9267;19076
706234;704565
155038;709249
75578;429595
1043007;1042999
977169;19324
1035346;1034079
386977;332
977102;977100
921515;933905
973763;973187
803723;618042
640068;2875
261535;229080
150174;150244
840980;854844
832934;985759
794346;757292
830364;860087
1076133;219589
667787;28406
988251;986467
463074;15324
422917;475026
327945;8364
9941;9915
153095;153156
381797;380365
381642;381603
380351;542024
756399;159616
835745;1056572
65185;80405
971518;989299
965501;921676
1023894;101683
309380;13377
965679;297103
160263;160255
285156;39475
470499;849841
150174;150271
102891;121410
1082596;48056
971814;1041265
408054;560837
519346;520513
994749;821380
150310;150179
435663;469502
138633;968331
761716;760872
154632;154677
1047620;1056562
849426;855748
59524;9793
9922;10079
4843;921601
256957;985179
426549;411684
756044;756041
955853;32961
10078;402
805733;805742
319255;620993
299579;66875
616964;116662
165257;165445
855382;855615
951746;951745
150885;1106689
835752;830202
102897;122665
626654;824125
887238;105656
921517;92288
705741;698486
453834;107554
8712;9954
17908;45440
152610;204875
888429;920282
15460;115860
951752;951552
393492;649504
1043559;1043578
847373;838736
529053;3283
844917;853377
344213;343994
159900;160030
200969;924446
129285;152445
896953;884086
194071;23066
407490;336306
863494;589458
9893;10021
523227;350133
184455;191101
501197;16174
15226;435692
85536;106800
1033744;980474
697657;106800
843971;837301
434551;8156
159741;159942
311926;794774
965290;742099
892114;526067
951641;951681
137053;737619
1047605;1052910
853318;851384
710449;799959
910754;122142
10113;618782
617715;596058
173969;578982
519369;217301
1054921;1056428
933878;965676
585931;839909
689757;689725
973676;889343
934156;921369
743808;743809
450222;426
9902;798090
761650;758983
150191;149994
921627;965568
205711;199597
971381;971383
440929;440924
754590;758070
89999;4483
1052916;1054909
608929;553619
987780;1008636
479172;410019
919871;919280
153086;153664
849882;470500
277781;147059
933888;921659
25368;525584
243610;456366
1007896;1007627
1056455;1052620
152559;152727
349420;301292
152618;152660
142;57040
1030362;1030364
159995;160097
572211;144
122651;122404
118012;20118
867965;705263
149177;149015
24149;31769
43585;29185
18336;438999
750510;773649
152740;152506
1065493;217821
401304;112205
839048;556079
577971;267228
11462;5761
844138;835102
989431;972087
951657;951724
294595;301020
853318;847456
853249;838909
756224;761644
756039;756481
160030;159823
155032;33296
63306;524482
1065114;1071122
332700;334683
426540;468
153215;153206
160264;159638
881739;15886
382753;277093
628389;51102
845500;833505
659267;675663
530490;29270
777605;1022093
390374;475161
153567;153468
835766;1047397
1048962;1054295
903231;973776
148819;148856
804731;27627
456763;26151
855381;837505
951652;951631
201312;83415
852692;852652
20477;856
966016;933922
153915;154164
969988;967655
310620;5000
937886;48056
835887;294606
318141;299102
777249;13526
153191;153382
8327;9230
324398;758481
299055;57030
440355;3598
889342;890721
152736;152498
911812;1045686
482778;293858
770620;319095
9669;5132
756397;160033
806343;850716
725718;723669
94108;45231
482779;777600
754553;756028
148880;148639
154568;763728
160318;160050
889044;895495
411431;92288
150209;14618
190733;165345
852896;842584
849666;836895
469;101
160098;159840
460622;114693
832933;972817
402555;404291
149890;150328
501327;157149
895644;340586
842572;841954
122015;340586
730498;388507
160320;159873
9957;2917
787925;55132
1045369;946184
153816;153818
837298;482780
778659;29727
91060;14166
5167;9731
1042452;48847
834515;1054136
919587;899881
598045;2161
986537;971515
118069;120079
159820;159672
34729;32618
830268;832865
143802;651191
934254;941651
874090;1005143
808862;808305
94051;92288
150269;150154
760170;629431
179502;58269
1081983;14850
855225;855751
772850;657849
159608;159759
893455;124528
1056452;1047620
549118;547672
353466;209865
844897;853927
5898;6714
757773;139803
758252;759937
109483;121776
8528;17867
154547;154826
260959;1022383
849883;844920
757792;756312
10087;16324
834901;987732
248798;206470
153934;154430
452913;280176
363069;6402
840268;844837
99009;703528
846059;851383
126421;19478
716617;268204
90324;899831
18181;987535
773652;739649
839101;842218
34325;226698
971849;901626
119008;119032
129921;128237
1047405;1047397
261018;64977
156041;156104
133562;3451
834844;1047165
110378;101152
11242;60940
799365;729644
652703;720729
138157;1054306
920891;903952
921416;919330
971654;972125
921174;965437
971591;986541
613900;149977
815;974380
295641;624127
405054;405050
3045;753347
660372;3047
120687;118633
38627;361004
329375;11259
985850;806363
159725;148081
657913;58496
664320;14322
660687;513673
463152;155531
902828;219828
451066;90437
149169;149138
381870;379044
749720;749731
894361;895133
755397;8575
1030961;1109672
380249;380279
1061822;814099
771167;766972
855685;470698
416774;985577
152599;152554
64145;37711
922045;951313
305525;554427
1022973;1020984
901670;854761
859720;973206
1027616;143982
351679;352538
317152;301772
8390;3854
735033;7235
638008;172976
972089;989340
919839;965441
972705;85095
970672;4096
705618;589801
921671;921134
177796;219828
949432;51347
965679;933915
221003;362819
153055;153660
775473;869184
16851;28785
159904;159886
859747;832697
149478;149523
158405;219587
362281;428603
982123;982024
514786;790608
702088;600369
122108;121915
986373;1001074
118715;118310
1020734;730272
1056470;1047602
889341;987782
986537;967527
969942;967994
112477;521284
100427;647280
149791;149757
305;2029
78280;60240
857910;405319
1045465;946205
1020106;970044
150405;666253
736523;33296
903899;967527
148714;768698
379042;381968
828428;549510
857614;792824
989190;889343
756214;759768
288402;875076
935807;921638
1976;365394
381750;381773
332410;131705
150321;150235
149973;150136
965569;933856
78656;13527
50663;40697
78902;561880
182280;335505
1026197;1026201
618084;868545
874425;987732
1065038;1033602
843134;266697
129010;581067
10597;537223
406912;4365
824434;824598
1054349;1049256
84829;34224
81784;2161
153130;153241
381640;378891
153075;153176
841941;851671
68941;49221
744348;249777
293876;557771
5125;32636
971333;973446
530084;529971
986543;985787
93157;965502
154442;154551
150408;150180
380370;441009
798575;243415
11041;624502
943335;705415
153859;153713
396599;62411
239822;31314
159410;147156
932430;724170
160189;160071
153737;153818
153270;153551
149048;149202
855538;470706
977930;5937
934143;921678
404486;26175
285474;766825
756044;756404
835084;830273
753267;159788
133608;3053
15204;216
844010;844107
759590;758227
4941;66927
182061;350009
382324;1003229
381614;381823
965858;1089797
189003;4329
480098;479483
933754;919306
328012;297167
889499;744456
8166;647815
830290;1011478
117977;389809
327860;327849
833311;833210
760238;52813
323418;18202
664003;663701
642136;762566
460643;454681
113977;118356
573708;15559
747067;326510
482770;855225
917536;934030
381845;380260
325613;3486
749598;749744
149034;149115
297235;946426
821072;711579
60837;501
600538;2118
1021988;5909
727792;33013
443105;856
933889;934152
728851;856807
347009;167859
152904;153921
921513;919444
877467;33402
950728;946534
381627;381686
415218;69143
304761;47889
132263;54789
679937;666742
381923;381864
719740;438615
261453;19070
898219;610876
551887;3615
153855;153143
209813;7224
381956;381910
791091;64333
915766;878073
149143;149068
11606;561390
62040;184370
874364;989205
989336;987922
1052907;1054133
32832;10328
73709;79709
841304;470521
1041506;1035364
342638;226698
8575;422376
755974;754575
805945;5000
919837;965993
399334;2866
109776;866259
310068;263465
320706;328958
849854;101683
387183;475248
422455;477373
847894;172935
973770;989435
150015;150197
10328;284713
673882;3468
519345;288585
61683;30709
59137;663983
148999;148958
24810;349958
760860;761653
941381;290786
32773;9415
734403;557035
682308;650560
566022;423933
528323;152928
971520;990412
365628;5324
856733;774774
504412;1108356
1011487;832592
55100;649
69436;15228
754387;955188
218397;4098
155597;155689
149879;150203
519348;277650
64736;100895
31313;367
609277;293086
482787;293871
503514;115847
160201;159917
369516;342243
919330;921625
121411;122115
153315;153588
154625;154149
1067059;267522
1054922;1053184
717096;765469
122418;102170
985737;972082
380320;380256
896511;453772
997453;55
971591;987929
63001;895119
670525;50536
830263;1013045
917236;919845
758090;756204
121461;414083
44874;388819
349412;754967
600670;701647
745650;745110
148278;15473
1041279;44303
838810;846062
80548;2871
665404;469727
220370;220378
293865;837271
3463;350452
892111;937525
174086;61484
26152;525584
921133;933848
414553;11232
1024080;55132
244697;219832
811980;25113
765944;757245
9661;10082
600707;10983
108;3914
755012;710682
153182;153052
130707;57269
729134;592430
970115;52386
986522;978091
154368;153967
66268;51746
834844;1052624
160221;159620
874090;874370
612058;625971
152632;152646
78701;363
795581;32687
354840;48717
1045367;946196
473755;880439
990409;893038
849054;470508
951475;951730
760086;796297
2866;252380
623664;131312
425440;248
157074;501330
112964;256054
1109732;1109734
719291;14800
65281;80473
828860;60008
381980;381858
357491;357499
264025;48291
845833;849550
821462;861711
552738;542899
723593;155020
153308;153423
381762;381575
159818;160161
150123;150022
548875;547831
755596;767435
3907;51516
130259;30928
175018;139799
148903;148810
882505;786415
425552;425539
695220;695167
892225;973193
892395;874090
15208;4714
1037215;269952
51987;7509
725046;161409
1054911;1049260
22673;15246
761649;759937
153180;153231
145072;145067
1007338;931353
408444;291
148986;148667
1042440;1038494
215088;204211
18076;3924
159073;136000
381715;381674
666746;670733
689356;177169
155713;155546
1100800;726325
381963;381958
391906;454064
115738;727513
121786;28272
921487;945524
602438;424476
368121;152466
842056;293864
756196;756295
817918;626654
1037644;4003
837429;470539
842585;835912
951605;951638
876394;239945
649260;107185
717700;728995
9912;9914
148858;148827
132102;259412
365540;290358
986577;989340
1089668;620993
153204;153190
996426;31828
1056428;1054337
561941;2136
513285;620993
1055621;306
329003;346807
216381;923385
220572;734066
885567;885532
1056573;834515
160066;160281
118912;118892
921358;934027
117107;29576
153108;153148
1065990;1060166
968005;968002
1070081;1056582
183324;23066
153652;153172
152551;9291
381790;381691
14411;31888
315239;346205
149973;150180
381791;381844
306774;104
1091940;1091822
160315;159762
965992;935755
643596;384099
539422;388700
122193;20207
417158;312358
944304;100000
951734;951685
97146;618822
732951;1010194
22162;68062
160102;160098
470494;852654
348544;955
1010943;978683
1020094;603303
924203;92288
156807;60194
1008360;967530
783328;604576
159835;159662
159823;159723
633626;620993
689435;689417
150397;149932
121916;122663
153259;153616
657988;157913
704682;704466
120976;577016
160298;159900
149676;149797
9968;24223
3705;62
389538;12643
150458;150048
750097;756755
433796;959936
149929;149867
376611;37242
797224;793570
1056442;4003
152744;152665
51480;986524
1002645;144697
1089799;1109534
934944;1972
855378;556088
39599;7380
139796;139626
171211;171206
842449;219828
1017110;899714
989154;985741
654746;60698
971660;1037591
72677;24971
756203;758225
443755;566
290358;443473
275744;748
1066533;1061326
986513;986529
855750;851383
155638;155701
213157;213173
1035247;1034155
973679;989380
38926;80676
950148;224333
347096;344274
967863;800200
971651;893766
158527;189908
999309;1074934
749543;749559
807740;18874
3461;338722
837436;293864
379015;378972
772604;748770
160041;160331
1063237;1039384
160307;160052
1052920;1056452
82579;797831
75584;367286
935686;1071134
7557;8861
950773;946422
218046;757292
956773;98149
756201;756414
921487;965677
154751;154510
977398;977261
9927;292
51061;8168
658065;31326
8714;8758
662237;52813
15589;11248
756216;756508
933683;1005591
73529;291
153934;154465
943331;523981
753630;159658
118856;119181
268136;38040
10061;9737
148653;148917
854434;293878
840493;840216
849920;841947
249007;150916
838011;759849
193334;912664
1034455;1034461
150308;149977
194276;97053
20341;918341
288446;23345
464701;216496
528761;885264
264850;620993
153182;153051
451380;121490
980044;1072212
1048126;1048124
649703;120473
989299;1004961
168795;687002
836071;293877
517975;969545
30382;29627
442060;3047
789280;566155
159836;159723
776762;776703
1005015;952356
798046;85080
742995;60698
482790;835903
180727;161922
917220;967522
973184;989194
594463;5259
758214;758074
678867;757292
844876;557753
480210;448052
470693;837300
86785;80227
857572;436909
366206;364066
840284;842325
633046;340635
545253;80744
434948;686408
725630;847615
121523;102897
145098;184479
761249;794839
159784;160219
2878;32674
795412;30940
756493;758011
805851;1092706
301022;63419
966003;933900
823134;14725
133053;1015557
951531;951754
9181;31831
145886;145885
842327;482829
153500;153664
964906;7500
41142;18127
160171;159762
658429;1109363
1014924;1014720
152626;152506
380295;380299
160150;159630
152837;632213
535128;736066
575043;803454
1089809;1109540
812850;591850
378925;381714
82809;21762
128673;154899
153175;559374
917421;965648
319926;302011
1014632;1014713
153122;153816
153897;152914
951521;951638
354652;172504
976299;46449
470703;470500
367013;60698
406325;8927
922136;919280
390141;407349
938948;785518
772228;765199
1037209;592783
503458;783460
653500;745014
837141;854853
173338;172651
219593;4361
18651;531523
160128;159731
965985;970088
579984;16300
11578;335163
60504;4444
958119;60698
103483;435674
430185;202267
149537;149539
841053;854851
1022743;1021707
795362;975916
921641;969804
89809;620993
594940;4546
917567;919869
308957;112244
756265;759443
357973;236071
317259;475083
383461;4984
150333;150350
156943;157329
899747;899833
11141;28760
911715;876117
745239;758984
1007872;930913
889388;972047
792599;821351
296518;113312
159664;160073
39613;50
9825;9887
429529;48044
1102350;139181
989189;989347
568931;1015618
759604;756508
971574;971509
150084;150095
989412;990411
885021;938824
7843;4662
153109;153041
160298;159897
968182;837435
317646;321624
1006875;930913
634718;9239
216677;194315
445146;151835
70120;5909
52813;312
683781;150449
811313;68214
159813;159780
152513;195180
756200;758226
149875;52813
44726;1089301
80818;79905
150347;150388
903231;971871
79251;46321
159790;159635
149569;149603
917994;951771
883961;8522
128753;52383
569462;568685
965442;917433
578867;209913
482783;698541
835096;839006
102727;122663
149641;149640
427444;478888
965696;921368
889871;890352
958673;745764
989433;971586
1027006;1026544
147235;160388
753602;725005
368382;769591
9887;9808
903673;152642
1054443;1047628
518202;844474
71873;71778
181453;112
115483;4037
377871;429180
57611;81978
1023754;14059
152825;167859
445629;1037356
159769;159784
399582;31095
695233;692169
365999;242760
982098;792585
82705;38964
917265;965691
373724;58357
9287;12461
224926;237498
119597;431050
1053187;1047406
169474;655998
866704;432696
1043302;1045487
1046019;27627
9839;7825
475027;156701
775213;438737
537304;539348
1026047;12442
808647;292
934135;921667
966040;934168
153190;153278
9963;9905
971914;986565
10083;10056
9956;17452
455153;1076460
845845;844137
407040;290001
116952;783508
643079;920722
1061244;1061240
961893;9954
842582;842282
1008383;971520
753303;101681
182685;182693
611368;839078
759108;817101
756479;180989
29943;30473
154380;154196
150080;150276
792380;121641
149527;149472
152563;152725
128947;123074
149968;149970
10055;10087
150214;541362
535766;3600
761658;758018
153807;153594
971391;971390
480273;662552
833121;973496
150201;149843
1063407;1066892
798971;462326
989294;971518
544395;253096
1109902;1086494
148907;148690
159643;160105
182372;182377
867852;27105
379023;378955
484154;570514
47859;443047
121403;122402
96289;42899
101957;40838
982049;982128
1019669;589664
609308;217542
795221;933096
511076;752910
756197;761641
662344;467996
753239;159815
350108;355123
726635;6371
119243;118936
149208;149036
26435;73611
544191;546913
150161;149848
1076015;1098369
16298;851850
440701;171861
914508;914510
122014;121980
728043;87634
849486;844190
681935;681056
32961;18022
813046;6194
841161;381829
946202;1083516
847500;838909
152718;152728
836714;556091
764942;92288
1097920;949
153195;153707
423849;1055930
663234;661343
150427;150283
874939;155741
673951;598441
148807;148968
105768;219587
660948;866657
811747;811689
921509;965991
148028;159594
104416;787830
692169;775950
1053132;1054889
940463;14851
458527;458525
176106;592363
1065119;1065103
951747;951459
342309;526946
835811;842218
122074;122097
153277;153333
160057;160329
