source,target
1,219587
1,14361
1,14981
1,36672
1,167827
1,33486
1,2138
1,3601
1,2
1,27
1,53
1,54
1,56
1,104
1,120
1,121
1,186
1,187
1,208
1,216
1,291
1,325
1,332
1,361
1,363
1,367
1,391
1,400
1,403
1,460
1,469
1,473
1,566
1,847
1,856
1,1935
1,1989
1,2028
1,2081
1,2115
1,2136
1,2161
1,2843
1,2860
1,2875
1,2888
1,2899
1,2915
1,2922
1,2964
1,2979
1,2999
1,3009
1,3045
1,3047
1,3049
1,3051
1,3334
1,3440
1,3447
1,3460
1,3463
1,3464
1,3466
1,3496
1,3528
1,3674
1,3772
1,3854
1,3944
1,3955
1,3990
1,4008
1,4013
1,4015
1,4074
1,4457
1,4467
1,4472
1,4536
1,4681
1,4700
1,4714
1,434751
1,4893
1,4978
1,5000
1,5072
1,5324
1,5410
1,5414
1,5422
1,5789
1,5816
1,6193
1,6207
1,6276
1,6312
1,6346
1,6418
1,6490
1,6580
1,6592
1,7111
1,7174
1,7394
1,7426
1,7472
1,7503
1,7509
1,7574
1,7783
1,7862
1,7864
1,7947
1,7961
1,8047
1,8112
1,998999
1,8493
1,9290
1,9330
1,9476
1,9586
1,9890
1,10002
1,10138
1,10523
1,11424
1,11471
1,11481
1,12158
1,12159
1,12338
1,12412
1,12839
1,13448
1,14411
1,14512
1,14880
1,14986
1,15294
1,15624
1,15790
1,15798
1,15939
1,16298
1,18047
1,18437
1,19078
1,19083
1,19142
1,19324
1,19599
1,19632
1,20413
1,22220
1,24065
1,25254
1,26221
1,26786
1,29239
1,29573
1,30990
1,31950
1,32679
1,32873
1,34906
1,37751
1,40187
1,47196
1,55918
1,59348
1,63261
1,70876
1,85663
1,98406
1,99644
1,110134
1,110917
1,127060
1,164578
1,178089
1,178819
1,182979
1,183188
1,189000
1,219589
1,219593
1,219595
1,219828
1,219832
1,219834
1,219837
1,224613
1,245424
1,260745
1,286838
1,287631
1,292227
1,313801
1,342751
1,365195
1,393329
1,410767
1,502310
1,555370
1,620993
1,683790
1,688255
1,741645
1,24971
1,3476
1,3886
1,3686
1,28592
1,28134
1,944
1,17517
1,6440
1,9268
1,3407
1,7665
1,4044
1,9266
1,5892
1,1975
1,8861
1,7545
1,7681
1,8402
1,140252
1,3959
1,332593
1,8426
1,8340
1,3960
1,8445
1,871
1,9255
1,2971
1,3964
1,9869
1,3974
1,9877
1,410
1,6752
1,15868
1,4656
1,11079
1,10294
1,5416
1,9230
1,22419
1,768757
1,4941
1,9886
1,9920
1,9825
1,7863
1,9117
1,9080
1,3963
1,7553
1,9888
1,9885
1,9881
1,5148
1,9835
1,69179
1,434
1,7794
1,7474
1,60935
1,28053
1,9853
1,9212
1,402
1,569
1,3598
1,185
1,3640
1,6643
1,7517
1,27762
1,5582
1,156768
1,219111
1,468
1,8905
1,52728
1,3641
1,3311
1,3837
1,13785
1,578
1,48562
1,32121
1,6754
1,7785
1,51132
1,386957
1,3539
1,29028
1,424642
1,262
1,401
1,22481
1,9950
1,3961
1,713510
1,52487
1,8917
1,16382
1,9821
1,530
1,684
1,47977
1,9889
1,9882
1,9530
1,9868
1,7270
1,10853
1,11701
1,8336
1,9883
1,9884
1,9880
1,9887
1,5156
1,9876
1,9149
1,9867
1,51747
1,671389
1,65766
1,6829
1,23185
1,59249
1,32882
1,8719
1,59301
1,18860
1,8714
1,3967
1,10141
1,16534
1,7171
1,7787
1,9879
1,5249
1,914270
1,451086
1,9878
1,7825
1,24294
1,9891
1,21394
1,39168
1,8495
1,11676
1,8497
1,21063
1,39092
1,5155
1,19968
1,16325
1,4593
1,16852
1,9044
1,16034
1,11594
1,8746
1,4629
1,8355
1,86541
1,9892
1,8720
1,9874
1,1096867
1,18739
1,312563
1,64531
1,957949
1,10967
1,23346
1,124701
1,19023
1,20598
1,238585
1,31561
1,31981
1,145893
1,674629
1,773349
1,283582
1,93661
1,181189
1,93667
1,33737
1,9860
